Sport,Level,League,Date,Day,Time,Home Team,Road Team,City,State
basketball,college,ncaab,2023-11-06,Monday,19:00:00,Rutgers University,Princeton,,
basketball,college,ncaab,2023-11-10,Friday,19:00:00,Rutgers University,Boston University,,
basketball,college,ncaab,2023-11-12,Sunday,12:00:00,Rutgers University,Bryant ,,
basketball,college,ncaab,2023-11-15,Wednesday,20:30:00,Rutgers University,Georgetown ,,
basketball,college,ncaab,2023-11-18,Saturday,18:00:00,Rutgers University,Howard ,,
basketball,college,ncaab,2023-11-27,Monday,19:00:00,Rutgers University,Saint Peter's ,,
basketball,college,ncaab,2023-12-06,Wednesday,18:00:00,Rutgers University,Wake Forest ,,
basketball,college,ncaab,2023-12-09,Saturday,20:30:00,Rutgers University,Seton Hall ,,
basketball,college,ncaab,2023-12-30,Saturday,12:00:00,Rutgers University,Stonehill ,,
basketball,college,ncaab,2023-12-16,Saturday,13:00:00,Rutgers University,LIU,,
basketball,college,ncaab,2023-12-23,Saturday,12:00:00,Rutgers University,Mississippi State ,,
basketball,college,ncaab,2023-12-02,Saturday,16:00:00,Rutgers University,Illinois,,
basketball,college,ncaab,2024-01-03,Wednesday,19:00:00,Rutgers University,Ohio State ,,
basketball,college,ncaab,2024-01-06,Saturday,12:00:00,Rutgers University,Iowa,,
basketball,college,ncaab,2024-01-09,Tuesday,19:00:00,Rutgers University,Indiana ,,
basketball,college,ncaab,2024-01-14,Sunday,12:00:00,Rutgers University,Michigan State ,,
basketball,college,ncaab,2024-01-17,Wednesday,19:00:00,Rutgers University,Nebraska,,
basketball,college,ncaab,2024-01-21,Sunday,13:00:00,Rutgers University,Illinois,,
basketball,college,ncaab,2024-01-28,Sunday,13:00:00,Rutgers University,Purdue ,,
basketball,college,ncaab,2024-01-31,Wednesday,20:30:00,Rutgers University,Penn State ,,
basketball,college,ncaab,2024-02-03,Saturday,16:00:00,Rutgers University,Michigan,,
basketball,college,ncaab,2024-02-06,Tuesday,18:30:00,Rutgers University,Maryland,,
basketball,college,ncaab,2024-02-10,Saturday,12:00:00,Rutgers University,Wisconsin,,
basketball,college,ncaab,2024-02-15,Thursday,18:30:00,Rutgers University,Northwestern ,,
basketball,college,ncaab,2024-02-18,Sunday,18:30:00,Rutgers University,Minnesota,,
basketball,college,ncaab,2024-02-22,Thursday,19:00:00,Rutgers University,Purdue,,
basketball,college,ncaab,2024-02-25,Sunday,12:00:00,Rutgers University,Maryland,,
basketball,college,ncaab,2024-02-29,Thursday,20:30:00,Rutgers University,Michigan,,
basketball,college,ncaab,2024-03-03,Sunday,18:30:00,Rutgers University,Nebraska,,
basketball,college,ncaab,2024-03-07,Thursday,19:00:00,Rutgers University,Wisconsin,,
basketball,college,ncaab,2024-03-10,Sunday,14:00:00,Rutgers University,Ohio State,,
basketball,college,ncaab,2023-10-21,Saturday,14:00:00,Rutgers University,St. John's (Exhibition),,
basketball,college,ncaab,2023-12-01,Friday,19:00:00,Saint Peter's University,Niagara University,,
basketball,college,ncaab,2023-12-03,Sunday,13:00:00,Saint Peter's University,Canisius University,,
basketball,college,ncaab,2024-01-05,Friday,19:00:00,Saint Peter's University,Iona University,,
